"Teemanggene, Bajagai",Berjaga jaga,-
Baduas,Ikan Layar,-
Badung,"Pacul, Pukul Sagu",-
Badunggal,"Celaka, Mati",-
Badunggalan,Tempat Celakaa atau waktu Kematian,-
"Bagalaal, Galal","Berbincang, Bincang",-
Bagau,Merajuk,-
Baginsaa,Bangsawan,-
Bai,Tapi,-
"Bajan, Dili","Tubuh, Badan",-
Bajene,Wuduh,-
Bakai Kokondong,Berdiri Berulang ulang,-
Bakalinga,Kanan,-
Bobo,Kiri,-
Bakakanggi,Berpegangan,-
"Bakeda, Bakeduk, Pote",Bersetubuh,-
Bakidung,Bernyanyi,-
Bakilakit,Minta Menumpang,-
Bakilakom,Terpendam Dihati,-
"Bakitulung, Bakimaasi, Mangkabi tulung",Minta Tolong,-
"Bakisosok, Bakoisok","Menyimpa, Bersiap, Merapikan",-
Bakokoa,"Bertudung, Tutup Kepala",-
"Bakoko, Bakko, Bolung","Parang, Golok",-
Bakokondong,Mendirikan,-
Bakulibang,Membuat Kopra,-
Baku,Ubi,-
Bakuda,Menumbuk,-
"Balalau, Ballau",Telanjang,-
Ballau bendang,Telanjang Bulat,-
"Balangkai, Balangkai",Lebih Baik,-
"Balangkai, Balangkai",Gelang,-
Balainsunsung,Berurutan,-
Balatindak,Main Langkah (Sejenis Pencak silat),-
Balayon,Tikar,-
Baleel,Berbanjar,-
Baledut,Bergeser Tempat dengan Pantat,-
Bali,Lawan,-
Balibang,Berpesta,-
Balik,"Berubah, Luntur",-
Balimang,Bekerja,-
Balipapak,Bergeletar,-
Balongka,"Montimun, Ketimun",-
Balu-balu,"Pasukan Perang, Tentara Kerajaan",-
Balu,"Janda, Duda yang ditinggal mati",-
"Baluk, Palele, Bangkit","Jual, Jaja",-
Mabalukon,Menjual,-
Binalukon,Dijual,-
Balun,Kain Kafan,-
Bameengan,Satu Kesatuan,-
Bameenggon,Bersama sama,-
"Bamo, Amo","Hanya, Sisa",-
Bambombonoi,Mencari Tali Hutan,-
